ГИСМЕТЕО
date;temp;pressure
2020-06-22 12:00:00;22;749
2020-06-22 20:00:00;19;749
2020-06-23 12:00:00;24;749
2020-06-23 20:00:00;19;749
2020-06-24 12:00:00;25;752
2020-06-24 20:00:00;21;754
2020-06-25 12:00:00;28;752
2020-06-25 20:00:00;16;753
2020-06-26 12:00:00;25;755
2020-06-26 20:00:00;22;752
2020-06-27 12:00:00;29;747
2020-06-27 20:00:00;26;745
2020-06-28 12:00:00;27;743
2020-06-28 20:00:00;20;743
2020-06-29 12:00:00;20;745
2020-06-29 20:00:00;17;745
2020-06-30 12:00:00;23;743
2020-06-30 20:00:00;21;741
2020-07-01 12:00:00;25;742
2020-07-01 20:00:00;21;743
2020-07-02 12:00:00;22;746
2020-07-02 20:00:00;19;746
2020-07-03 12:00:00;28;746
2020-07-03 20:00:00;18;746
2020-07-04 12:00:00;24;746
2020-07-04 20:00:00;21;746
2020-07-05 12:00:00;24;745
2020-07-05 20:00:00;23;744
2020-07-06 12:00:00;28;743
2020-07-06 20:00:00;23;743
2020-07-07 12:00:00;30;741
2020-07-07 20:00:00;19;741
2020-07-08 12:00:00;26;740
2020-07-08 20:00:00;17;741
2020-07-09 12:00:00;20;746
2020-07-09 20:00:00;16;748
2020-07-10 12:00:00;22;751
2020-07-10 20:00:00;19;751
2020-07-11 12:00:00;28;749
2020-07-11 20:00:00;24;749
2020-07-12 12:00:00;29;747
2020-07-12 20:00:00;17;747
